timestamp_utc;lux
2025-01-01T06:00:00+00:00;1474.1
2025-01-01T07:00:00+00:00;4319.3
2025-01-01T08:00:00+00:00;10097.0
2025-01-01T09:00:00+00:00;12360.9
2025-01-01T10:00:00+00:00;13392.7
2025-01-01T11:00:00+00:00;13173.7
2025-01-01T12:00:00+00:00;11768.7
2025-01-01T13:00:00+00:00;8895.7
2025-01-01T14:00:00+00:00;3591.0
2025-01-01T15:00:00+00:00;1373.8
2025-01-11T06:00:00+00:00;1492.9
2025-01-11T07:00:00+00:00;4524.8
2025-01-11T08:00:00+00:00;10490.2
2025-01-11T09:00:00+00:00;12766.2
2025-01-11T10:00:00+00:00;13898.6
2025-01-11T11:00:00+00:00;13699.5
2025-01-11T12:00:00+00:00;12419.6
2025-01-11T13:00:00+00:00;9877.6
2025-01-11T14:00:00+00:00;4401.7
2025-01-11T15:00:00+00:00;1591.4
2025-01-21T06:00:00+00:00;1586.6
2025-01-21T07:00:00+00:00;5126.6
2025-01-21T08:00:00+00:00;11088.3
2025-01-21T09:00:00+00:00;13404.6
2025-01-21T10:00:00+00:00;14686.6
2025-01-21T11:00:00+00:00;14590.6
2025-01-21T12:00:00+00:00;13245.8
2025-01-21T13:00:00+00:00;10748.5
2025-01-21T14:00:00+00:00;5573.7
2025-01-21T15:00:00+00:00;1780.3
2025-01-31T06:00:00+00:00;1726.7
2025-01-31T07:00:00+00:00;6169.7
2025-01-31T08:00:00+00:00;11953.7
2025-01-31T09:00:00+00:00;14362.8
2025-01-31T10:00:00+00:00;15662.2
2025-01-31T11:00:00+00:00;15620.3
2025-01-31T12:00:00+00:00;14289.6
2025-01-31T13:00:00+00:00;11866.0
2025-01-31T14:00:00+00:00;7228.0
2025-01-31T15:00:00+00:00;2376.0
2025-02-01T06:00:00+00:00;1741.2
2025-02-01T07:00:00+00:00;6299.3
2025-02-01T08:00:00+00:00;12001.1
2025-02-01T09:00:00+00:00;14355.8
2025-02-01T10:00:00+00:00;15751.7
2025-02-01T11:00:00+00:00;15731.0
2025-02-01T12:00:00+00:00;14377.9
2025-02-01T13:00:00+00:00;11873.2
2025-02-01T14:00:00+00:00;7377.7
2025-02-01T15:00:00+00:00;2483.1
2025-02-10T06:00:00+00:00;1877.7
2025-02-10T07:00:00+00:00;7874.2
2025-02-10T08:00:00+00:00;12980.3
2025-02-10T09:00:00+00:00;15525.0
2025-02-10T10:00:00+00:00;16639.5
2025-02-10T11:00:00+00:00;16764.6
2025-02-10T12:00:00+00:00;15524.3
2025-02-10T13:00:00+00:00;13021.3
2025-02-10T14:00:00+00:00;9319.8
2025-02-10T15:00:00+00:00;3002.3
2025-02-19T06:00:00+00:00;2345.9
2025-02-19T07:00:00+00:00;9980.3
2025-02-19T08:00:00+00:00;14124.9
2025-02-19T09:00:00+00:00;16581.2
2025-02-19T10:00:00+00:00;17834.9
2025-02-19T11:00:00+00:00;17940.9
2025-02-19T12:00:00+00:00;16532.9
2025-02-19T13:00:00+00:00;14213.1
2025-02-19T14:00:00+00:00;10563.6
2025-02-19T15:00:00+00:00;3926.1
2025-02-19T16:00:00+00:00;1124.4
2025-02-28T05:00:00+00:00;799.7
2025-02-28T06:00:00+00:00;4141.3
2025-02-28T07:00:00+00:00;11696.6
2025-02-28T08:00:00+00:00;15260.6
2025-02-28T09:00:00+00:00;17870.6
2025-02-28T10:00:00+00:00;19112.9
2025-02-28T11:00:00+00:00;19045.0
2025-02-28T12:00:00+00:00;17707.2
2025-02-28T13:00:00+00:00;15195.7
2025-02-28T14:00:00+00:00;11624.6
2025-02-28T15:00:00+00:00;5130.6
2025-02-28T16:00:00+00:00;1491.3
2025-03-01T05:00:00+00:00;874.2
2025-03-01T06:00:00+00:00;4301.5
2025-03-01T07:00:00+00:00;11856.6
2025-03-01T08:00:00+00:00;15381.1
2025-03-01T09:00:00+00:00;17899.6
2025-03-01T10:00:00+00:00;19232.3
2025-03-01T11:00:00+00:00;19071.3
2025-03-01T12:00:00+00:00;17979.8
2025-03-01T13:00:00+00:00;15320.8
2025-03-01T14:00:00+00:00;11726.2
2025-03-01T15:00:00+00:00;5244.5
2025-03-01T16:00:00+00:00;1522.1
2025-03-11T05:00:00+00:00;1684.7
2025-03-11T06:00:00+00:00;6271.7
2025-03-11T07:00:00+00:00;13278.1
2025-03-11T08:00:00+00:00;16830.7
2025-03-11T09:00:00+00:00;19333.4
2025-03-11T10:00:00+00:00;20692.5
2025-03-11T11:00:00+00:00;20495.7
2025-03-11T12:00:00+00:00;19090.1
2025-03-11T13:00:00+00:00;16467.8
2025-03-11T14:00:00+00:00;12974.8
2025-03-11T15:00:00+00:00;6797.2
2025-03-11T16:00:00+00:00;1947.2
2025-03-21T05:00:00+00:00;2492.3
2025-03-21T06:00:00+00:00;8844.3
2025-03-21T07:00:00+00:00;14760.3
2025-03-21T08:00:00+00:00;18246.7
2025-03-21T09:00:00+00:00;20545.2
2025-03-21T10:00:00+00:00;21857.0
2025-03-21T11:00:00+00:00;21674.5
2025-03-21T12:00:00+00:00;20155.6
2025-03-21T13:00:00+00:00;17584.6
